Title,Category,Link,Date,Author,Description,Polarity
"Crypto can complement mobile money in Africa, Kenyan banker says ",Africa ,https://www.moneyweb.co.za/news/africa/crypto-can-complement-mobile-money-in-africa-kenyan-banker-says/,19 May 2022 / ,Ciaran Ryan,"'Africa will benefit substantially from leapfrogging on the fourth industrial technologies, and cryptocurrency is one of them,' James Mwangi said. ",Neutral
Bitcoin lingers at $30 000 as traders assess stablecoin fallout ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-edges-past-30-000-as-traders-assess-stablecoin-fallout/,18 May 2022 / ,"Bella Genga, Bloomberg",Stablecoin 'regulation seems likely' and could lower risk: Goldman Sachs strategists. ,Neutral
Bitcoin dips with US futures as China data hamper risk sentiment ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-dips-with-us-futures-as-china-data-hamper-risk-sentiment/,17 May 2022 / ,"Joanna Ossinger and Sidhartha Shukla, Bloomberg",The largest cryptocurrency fell as much as 2.2% and was trading at $30 360 as of 11:50 a.m. in Tokyo. ,Positive
Terra crunch shakes foundations of crypto stablecoin complex ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/terra-crunch-shakes-foundations-of-crypto-stablecoin-complex/,16 May 2022 / ,"Tanzeel Akhtar and Olga Kharif, Bloomberg",Failing to live up to their billing as the collapse of the algorithmic token has investors pondering the implications of the tumult for the broader market. ,Positive
Crypto billionaires’ vast fortunes are destroyed in weeks ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-billionaires-vast-fortunes-are-destroyed-in-weeks/,12 May 2022 / ,"Scott Carpenter and Tom Maloney, Bloomberg",Billionaire crypto fortunes that swelled over the last two years are disappearing after a selloff that began with tech stocks spilled over into digital money. ,Neutral
Cryptocurrencies drop anew as TerraUSD’s woes cloud the outlook ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/cryptocurrencies-drop-anew-as-terrausds-woes-cloud-the-outlook/,12 May 2022 / ,"Olga Kharif, Vildana Hajric and Sidhartha Shukla, Bloomberg","Bitcoin shed as much as 4.9% on Thursday in Asia, falling to $27 003 and returning to levels last seen in December 2020. ",Positive
Blue-Chip NFT collections hit harder than bitcoin in crypto rout ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/blue-chip-nft-collections-hit-harder-than-bitcoin-in-crypto-rout/,11 May 2022 / ,"Olga Kharif, Bloomberg","Until recently, the popular NFT collection has generally fared better than the rest of the crypto sphere. ",Positive
Bitcoin holds rebound as crypto world awaits stablecoin rescue ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-holds-rebound-as-crypto-world-awaits-stablecoin-rescue/,11 May 2022 / ,"Sunil Jagtiani, Bloomberg","Ether, Solana and a range of other virtual coins made modest gains. ",Negative
Bitcoin recovers after briefly crashing below $30 000 ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-recovers-after-briefly-crashing-below-30-000/,10 May 2022 / ,"Sidhartha Shukla and David Pan, Bloomberg",As a selloff in stocks eased and a bout of calm washed across global markets. ,Positive
Bitcoin drops below $30 000 for the first time since July 2021 ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-below-30-000-for-the-first-time-since-july-2021/,10 May 2022 / ,"Sidhartha Shukla and David Pan, Bloomberg",Bringing its decline from a November record high to about 55% amid a global flight from riskier investments. ,Positive
Crypto’s audacious algorithmic stablecoin experiment crumbles ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/cryptos-audacious-algorithmic-stablecoin-experiment-crumbles/,10 May 2022 / ,"Stacy-Marie Ishmael, Bloomberg","Algorithmic stablecoins, like their more 'traditional' counterparts, are supposed to provide calm in the chaos of crypto. ",Positive
Bitcoin flirts with lowest level since 2021 as equities swoon ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-flirts-with-lowest-level-since-2021-as-equities-swoon/,9 May 2022 / ,"Sidhartha Shukla, Bloomberg",Tumbles below $33 000. ,Neutral
Crypto-rich puzzle over how to pass on high-risk wealth to heirs ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-rich-puzzle-over-how-to-pass-on-high-risk-wealth-to-heirs/,7 May 2022 / ,"Jill R. Shah, Bloomberg",It’s unlike anything estate planners could have imagined just a decade ago. ,Neutral
Oligarchs trade insults over crypto ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/oligarchs-trade-insults-over-crypto/,6 May 2022 / ,Ciaran Ryan,"Billionaire Peter Thiel named Warren Buffett, Larry Fink and Jamie Dimon as ‘enemies’ of Bitcoin. Buffet fired back with insults of his own. ",Positive
Bitcoin plunges the most since January; altcoins extend losses ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-plunges-the-most-since-january-altcoins-extend-losses/,6 May 2022 / ,"David Pan, Bloomberg",As the rout in financial markets deepened in the wake of increasing concern of recession. ,Neutral
Gucci to start accepting crypto payments in some US stores ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/gucci-to-start-accepting-crypto-payments-in-some-us-stores/,5 May 2022 / ,"Angelina Rascouet, Bloomberg",As the luxury industry takes tentative steps into the digital-asset universe.  ,Neutral
"Bitcoin adoption by Central African Republic a concern, IMF says ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-adoption-by-central-african-republic-a-concern-imf-says/,5 May 2022 / ,"Loni Prinsloo, Bloomberg","Bitcoin as legal tender presents a series of challenges for the country and the region, the International Monetary Fund said. ",Positive
Cryptoverse: Venture capitalists catch crypto fever ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/cryptoverse-venture-capitalists-catch-crypto-fever/,3 May 2022 / ,"Lisa Pauline Mattackal and Medha Singh, Reuters","A trickle has become a torrent: the full-year totals for 2019, 2020 and 2021 were $3.7 billion, $5.5 billion and $28 billion. ",Neutral
"Bored Ape metaverse frenzy raises millions, disrupts ethereum ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bored-ape-metaverse-frenzy-raises-millions-disrupts-ethereum/,1 May 2022 / ,"Olga Kharif and David Pan, Bloomberg",Demand was so strong that activity related to the event caused ripple effects across the entire Ethereum blockchain. ,Positive
Bitcoin is declared a legal currency in Central African Republic ,Africa ,https://www.moneyweb.co.za/news/africa/bitcoin-is-declared-a-legal-currency-in-central-african-republic/,28 Apr 2022 / ,"Katarina Hoije, Bloomberg",The second nation in the world to accept the cryptocurrency as legal tender. ,Positive
Central African Republic adopts bitcoin as an official currency ,Africa ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/central-african-republic-adopts-bitcoin-as-an-official-currency/,27 Apr 2022 / ,"Judicael Yongo, Reuters",Chief of staff calls it a decisive step toward opening up new opportunities for the country. ,Positive
SA house prices measured in bitcoin increase for the first time in a decade ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/sa-house-prices-measured-in-bitcoin-increase-for-the-first-time-in-a-decade/,26 Apr 2022 / ,Ciaran Ryan,"But over the last 10 years, bitcoin’s deflationary power is unrivalled. ",Neutral
Energy-hungry bitcoin moves into sights of US environmental movement ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/energy-hungry-bitcoin-moves-into-sights-of-us-environmental-movement/,25 Apr 2022 / ,"Avi Asher-Schapiro, Thomson Reuters Foundation",Lawmakers in New York push for a mining moratorium. ,Positive
Bitcoin touches six-week low ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-falls-to-six-week-low-as-risk-off-mood-gathers-momentum/,25 Apr 2022 / ,"Joanna Ossinger, Bloomberg",Further declines may be likely. ,Neutral
NFT hype is on the rise as market steadies after slump ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/nft-hype-is-on-the-rise-as-market-steadies-after-slump/,23 Apr 2022 / ,"Olga Kharif, Bloomberg",As a handful of new products and initiatives revive enthusiasm for a market that lives and dies on hype. ,Positive
"Binance recovers stolen, disguised crypto loot from mega hack ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/binance-recovers-stolen-disguised-crypto-loot-from-mega-hack/,23 Apr 2022 / ,"Muyao Shen, Bloomberg",The details of how it achieved this serve as notice for those who attempt to cash out ill-gotten cryptocurrency gains: It may only get harder. ,Negative
Bitcoin falls to lowest in a month as risk aversion takes toll ,Bitcoin ,https://www.moneyweb.co.za/news-fast-news/bitcoin-falls-to-lowest-in-a-month-as-risk-aversion-takes-toll/,18 Apr 2022 / ,"Joanna Ossinger, Bloomberg ",Ether down 4.7% ,Negative
Crypto revolution spurs central banks to design money’s future ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-revolution-spurs-central-banks-to-design-moneys-future/,18 Apr 2022 / ,"Joanna Ossinger and Carolynn Look, Bloomberg","What if, in the future, countries don’t need those US-dominated payment networks? ",Neutral
Bitcoin surpasses $41 000 as technical analysts predict bounce ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-surpasses-41-000-as-technical-analysts-predict-bounce/,14 Apr 2022 / ,"Joanna Ossinger, Bloomberg","The largest cryptocurrency rose as much as 0.6% to $41 500 on Thursday, gaining for a second day. ",Positive
"Crypto firm MoonPay raises $87m from Justin Bieber, Maria Sharapova, others ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-firm-moonpay-raises-87m-from-justin-bieber-maria-sharapova-others/,13 Apr 2022 / ,"Lisa Pauline Mattackal and Mehnaz Yasmin, Reuters", As the role of non-fungible tokens (NFTs) in content creation and fan engagement expands. ,Neutral
Bitcoin rallies back above $40 000 to show some recovery signs ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-rallies-back-above-40-000-to-show-some-recovery-signs/,12 Apr 2022 / ,"Joanna Ossinger, Bloomberg",Gaining back some ground after dropping for seven days out of the past eight. ,Negative
HSBC launches portfolio on metaverse for rich Asian clients ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/hsbc-launches-portfolio-on-metaverse-for-rich-asian-clients/,9 Apr 2022 / ,"Denise Wee, Bloomberg",As the UK lender wades further into the $800 billion virtual reality market.  ,Neutral
Ex-Barclays traders join digital art craze with Bored Ape tokens ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ex-barclays-traders-join-digital-art-craze-with-bored-ape-tokens/,8 Apr 2022 / ,"Laura Benitez and Abhinav Ramnarayan, Bloomberg",Amassing a collection of Bored Ape Yacht Club nonfungible tokens in a bet on the growing lure of digital collectibles. ,Negative
Crypto exchange Binance among investors to bail out victims of $615m heist ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-exchange-binance-among-investors-to-bail-out-victims-of-615m-heist/,7 Apr 2022 / ,"Elizabeth Howcroft, Reuters",Binance and Sky Mavis did not put a figure on how much of the $150 million Binance would provide. ,Positive
Bitcoin drops most in a month as markets turn risk-averse ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-most-in-a-month-as-markets-turn-risk-averse/,7 Apr 2022 / ,"David Pan, Bloomberg","Bitcoin fell as low as $42 760 in early Asia trading, dropping below $43 000 for the first time since March 24. ",Positive
Sarb urges engagement on blockchain ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/sarb-urges-engagement-on-blockchain/,6 Apr 2022 / ,"Prinesha Naidoo, Bloomberg","Reserve Bank, Intergovernmental Fintech Working Group complete proof-of-concept project on policy and regulatory implications of distributed-ledger-driven innovation in financial markets. ",Positive
The hottest NFT marketplace is mostly users selling to themselves ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/the-hottest-nft-marketplace-is-mostly-users-selling-to-themselves/,5 Apr 2022 / ,"Olga Kharif, Bloomberg",To help earn rewards in the form of more coins. ,Positive
"Bitcoin hits highest level of the year, but sell pressure looms ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-hits-highest-level-of-the-year-but-sell-pressure-looms/,5 Apr 2022 / ,Ciaran Ryan,"Despite the bullish sign, it might be a while before the fun returns. ",Positive
Nearly half of crypto owners first bought digital assets in 2021 -survey ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/nearly-half-of-crypto-owners-first-bought-digital-assets-in-2021-survey/,4 Apr 2022 / ," Hannah Lang, Reuters",It remains to be seen if the adoption momentum can keep pace this year. ,Neutral
Bitcoin breakout is making proponents wary of another fakeout ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-breakout-is-making-proponents-wary-of-another-fakeout/,4 Apr 2022 / ,"Vildana Hajric and Peyton Forte, Bloomberg","Bitcoin traded within 10% of its 50-day average price for 51 days through March 26, the longest stretch of tight trading since July 2020 ",Negative
Bitcoin is hot but traders give crypto stocks cold shoulder ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-is-hot-but-traders-give-crypto-stocks-cold-shoulder/,31 Mar 2022 / ,"Matt Turner, Bloomberg","Since hitting a six-month low in late January, Bitcoin prices have surged more than 30% including a 13% jump in March. ",Positive
Hackers steal about $600m in one of the biggest crypto heists ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/hackers-steal-about-600m-in-one-of-the-biggest-crypto-heists/,30 Mar 2022 / ,"Olga Kharif, Bloomberg",From a blockchain network connected to the popular Axie Infinity online game in one of the biggest crypto attacks to date. ,Positive
"Greenpeace, crypto billionaire lobby to change bitcoin’s code ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/greenpeace-crypto-billionaire-lobby-to-change-bitcoins-code/,29 Mar 2022 / ,"Olga Kharif, Bloomberg",Bitcoin is about to face a fresh onslaught over its damaging environmental footprint. ,Positive
Bitcoin erasing 2022’s losses has bulls predicting more gains ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoins-stealth-rally-erases-its-losses-for-the-year/,28 Mar 2022 / ,"Joanna Ossinger, Vildana Hajric and Emily Nicolle, Bloomberg",The token rises above the $35 000-to-$45 000 trading range where it’s been stuck since early January. ,Positive
NFT collection failures begin to mount in flashback to ICO bust , Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/nft-collection-failures-begin-to-mount-in-flashback-to-ico-bust/,27 Mar 2022 / ,"Olga Kharif, Bloomberg","On average, one in three NFT collections have essentially expired, with little or no trading activity, blockchain analytics firm Nansen found. ",Negative
BOE pushes for tougher regulation of $1.7trn crypto market ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/boe-pushes-for-tougher-regulation-of-1-7trn-crypto-market/,24 Mar 2022 / ,"William Shaw, Bloomberg",To prevent them from threatening the wider stability of financial markets. ,Neutral
"Don’t try picking crypto winners and losers, Fed study suggests ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/dont-try-picking-crypto-winners-and-losers-fed-study-suggests/,23 Mar 2022 / ,"David Pan, Bloomberg",Prices across cryptocurrencies tend to move in a similar direction and remain sensitive to shocks as a whole. ,Positive
Bitcoin stealth rally camouflaged by a renewal of risk appetite ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-stealth-rally-camouflaged-by-a-renewal-of-risk-appetite/,23 Mar 2022 / ,"Vildana Hajric and Emily Graffeo, Bloomberg","Bitcoin, the largest digital asset by market value, rose as much as 5.3% to $43 326. ",Positive
Ether outperforms bitcoin as excitement builds for software upgrade ,Bitcoin  ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ether-outperforms-bitcoin-as-excitement-builds-for-software-upgrade/,21 Mar 2022 / ,"Olga Kharif and David Pan, Bloomberg",Promises to reduce the carbon footprint of the world’s most-used blockchain appears to be getting closer to fruition.  ,Neutral
Margins of up to 90% give energy firms that mine bitcoin an edge ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/margins-of-up-to-90-give-energy-firms-that-mine-bitcoin-an-edge/,20 Mar 2022 / ,"Jialiang David Pan, Bloomberg",Miners with a direct energy source and power assets tend to enjoy a much lower price. ,Positive
Crypto’s unregulated DeFi boom raises shadow banking comparisons ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/cryptos-unregulated-defi-boom-raises-shadow-banking-comparisons/,18 Mar 2022 / ,"Olga Kharif, Bloomberg","'Unless regulators move to provide stronger oversight of this burgeoning sector of the cryptocurrency world, the risk to the broader financial system will grow.' ",Neutral
"Be ready to lose all your money in crypto, EU regulators warn ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/be-ready-to-lose-all-your-money-in-crypto-eu-regulators-warn/,18 Mar 2022 / ,"Huw Jones, Reuters","'Consumers face the very real possibility of losing all their invested money if they buy these assets,' the three EU authorities said in a statement. ",Positive
Bitcoin mirrors stock rebound on Powell’s upbeat economic tone ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-mirrors-stock-rebound-on-powells-upbeat-economic-tone/,17 Mar 2022 / ,"Crystal Kim, Bloomberg",Bitcoin gained about 3.5% to $40 800 as of 4:05 p.m. in New York. ,Positive
The world’s most crypto-friendly destinations ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/the-worlds-most-crypto-friendly-destinations/,17 Mar 2022 / ,Ciaran Ryan,Ljubljana in Europe and New York in the US – based on the growing number of bitcoin ATMs and retailers accepting crypto as payment. ,Positive
"Bitcoin jumps above $41 000, challenging past week’s tight range ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-jumps-above-41-000-challenging-past-weeks-tight-range/,16 Mar 2022 / ,"Philip Lagerkranser, Bloomberg",Bitcoin jumped as much as 5.7% to $41 691 before giving up some gains and trading at $40 915 at 10:43 a.m. in Hong Kong. ,Positive
Shorting Tether renews debate around most traded cryptocurrency ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/shorting-tether-renews-debate-around-most-traded-cryptocurrency/,16 Mar 2022 / ,"Yueqi Yang and Muyao Shen, Bloomberg",Has highlighted the difficulty of betting against the stablecoin that serves as a foundation for much of the trading in the cryptocurrency market. ,Positive
"Binance wins Crypto licenses from Dubai, Bahrain ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/binance-wins-crypto-licenses-from-dubai-bahrain/,15 Mar 2022 / ,"Yueqi Yang and Ben Bartenstein, Bloomberg",A key milestone for the world’s largest digital-asset exchange as it sets up the stage for a major push in the Middle East.  ,Positive
Crypto sleuth may have found tokens of sanctioned Russians ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-sleuth-may-have-found-tokens-of-sanctioned-russians/,15 Mar 2022 / ,"Olga Kharif, Bloomberg",Crypto forensics firm Elliptic said it has passed on to authorities information on a digital wallet that may be linked to sanctioned Russian officials and oligarchs. ,Negative
What keeps cryptocurrency auditors awake at night? ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/what-keeps-cryptocurrency-auditors-awake-at-night/,14 Mar 2022 / ,Dinesh Gurlal,"Insights from a webinar hosted by Mazars in collaboration with South African digital asset exchange, Luno ",Neutral
"Bitcoin, Ether see brief spike after Elon Musk says he isn’t selling ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-ether-see-brief-spike-after-elon-musk-says-he-isnt-selling/,14 Mar 2022 / ,"Joanna Ossinger, Bloomberg","Bitcoin, which has fallen as much as 2.9% before Musk’s tweet, briefly erased losses before retreating again. ",Positive
Bitcoin vs the rest of the markets ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-vs-the-rest-of-the-markets/,11 Mar 2022 / ,Jonty Sacks,Why it may be worth investing a small portion of your portfolio into a diversified basket of cryptocurrencies … ,Positive
"Bitcoin drops below $40 000, paring gains from US crypto order ",Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-below-40-000-paring-gains-from-us-crypto-order/,10 Mar 2022 / ,"Joanna Ossinger, Bloomberg","The largest cryptocurrency declined as much as 5.9% to $39 432 on Thursday, falling for the first time in three days. ",Positive
Bitcoin tops $42 000 as Yellen lauds ‘historic’ crypto overhaul ,Bitcoin ,https://www.moneyweb.co.za/news/markets/bitcoin-surges-above-41-500-amid-broad-rally-in-crypto-market/,9 Mar 2022 / ,Bloomberg News ,Other tokens follow. ,Negative
Coinbase blocks 25 000 crypto wallets linked to Russia users ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/coinbase-blocks-25-000-crypto-wallets-linked-to-russia-users/,8 Mar 2022 / ,"Yueqi Yang, Bloomberg",That it believes to be engaging in illicit activity.  ,Positive
Bitcoin drops to one-week low as oil shock batters risk assets ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-to-one-week-low-as-oil-shock-batters-risk-assets/,7 Mar 2022 / ,"Joanna Ossinger, Bloomberg",The largest cryptocurrency fell as much as 3.7% to $37 596 early Monday in Asia. ,Positive
Ukraine’s crypto army is both inspiration and cautionary tale ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ukraines-crypto-army-is-both-inspiration-and-cautionary-tale/,4 Mar 2022 / ,"Emily Nicolle, Bloomberg",Donations to the Ukrainian government and associated charitable organisations are skyrocketing as the fighting has intensified against invading Russian forces. ,Positive
Bitcoin falls back toward $40 000 on report of nuclear plant hit ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-falls-back-toward-40-000-on-report-of-nuclear-plant-hit/,4 Mar 2022 / ,"Joanna Ossinger, Bloomberg",The largest cryptocurrency dropped as much as 2.4% to $41 093. ,Positive
Treasury’s Yellen urged to ensure crypto isn’t Russia sanctions workaround ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/treasurys-yellen-urged-to-ensure-crypto-isnt-russia-sanctions-workaround/,3 Mar 2022 / ,"Allyson Versprille, Bloomberg","'There are growing concerns that Russia may use cryptocurrencies to circumvent the broad new sanctions it faces from the Biden administration and foreign governments in response to its invasion of Ukraine,' wrote the group of lawmakers. ",Positive
Bitcoin keeps pulling away from stocks roiled by Ukraine war ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-keeps-pulling-away-from-stocks-roiled-by-ukraine-war/,2 Mar 2022 / ,"Philip Lagerkranser and Joanna Ossinger, Bloomberg",Prompts investors to look for safe havens. ,Positive
Bitcoin advances in tentative comeback as haven asset ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-advances-in-tentative-comeback-as-haven-asset/,1 Mar 2022 / ,Joanna Ossinger and Denitsa Tsekova,"The largest cryptocurrency rose 4.3% to $43 453 at 10:50 a.m. in London, gaining along with other major digital tokens. ",Positive
Bitcoin bucks S&P correlation trend with uptick as Ukraine crisis escalates ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-bucks-sp-correlation-trend-with-uptick-as-ukraine-crisis-escalates/,28 Feb 2022 / ,"Akayla Gardner and Peyton Forte, Bloomberg","Continued price gains above the $41 000 level could provoke Bitcoin to test $42 800, a key resistance zone, according to Nathan Batchelor, lead Bitcoin analyst at SIMETRI Research. ",Neutral
Developments in UK crypto space could provide clues into SA’s crypto regulation plans ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/developments-in-uk-crypto-space-could-provide-clues-into-sas-crypto-regulation-plans/,27 Feb 2022 / ,Richard Rattue,"Whichever way the FSCA goes with crypto regulation, there will almost certainly be more requirements to meet for crypto-asset providers. ",Positive
Ukraine crypto donations pour in after Russian invasion ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ukraine-crypto-donations-pour-in-after-russian-invasion/,27 Feb 2022 / ,"Stacy-marie ishmael and Hannah Miller, Bloomberg","Adding to crowdfunding efforts that have raised more than $5 million in Bitcoin, Ether and other tokens since Friday.  ",Positive
